emo_score, comment_counts, like_counts
0,2,25
0,0,25
0,3,3
0,0,0
0,0,0
0,0,0
0,1,25
0,4,25
0,0,7
0,0,0
-1,3,8
0,0,25
0,0,25
0,0,2
0,0,0
0,0,0
0,0,5
0,2,25
0,1,23
0,3,0
0,9,25
0,1,0
0,1,2
0,0,1
0,0,0
0,0,0
1,0,4
0,0,0
0,5,5
0,0,2
0,0,25
0,10,25
0,0,0
0,0,2
0,2,25
0,0,0
0,0,3
0,0,3
0,4,2
0,1,2
0,0,0
0,0,0
0,0,0
0,0,0
1,0,14
0,3,25
0,1,19
0,1,19
0,0,23
0,1,0
0,0,25
0,0,0
0,0,0
0,3,1
0,1,0
0,0,0
0,3,1
0,3,20
0,4,24
0,2,14
0,5,25
0,1,23
0,0,2
-1,0,2
0,2,2
0,5,9
0,0,25
0,0,7
0,1,0
0,0,1
0,0,1
0,0,9
0,0,0
0,2,1
0,1,8
0,0,5
0,0,0
0,0,25
0,0,2
0,0,0
1,0,25
0,2,18
0,0,1
0,0,0
2,0,4
0,3,4
0,1,25
0,0,3
0,1,23
0,0,0
0,0,0
0,1,12
0,0,0
0,0,1
0,0,10
0,0,1
0,4,25
0,0,16
0,10,25
0,0,0
